Sentence,Aspect Term,polarity
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,positive
"The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.",plain slice,positive
"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",Meat dishes,neutral
Bartender was unable to tear himself away from friends at bar.,Bartender,negative
"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",appetizers,positive
Our server was very helpful and friendly.,server,positive
"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",back garden sitting area,positive
"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",fish,positive
"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!",qualities,negative
"Try the mediterranean salad, it is a true experience for your taste buds!!",mediterranean salad,positive
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,hanger steak,negative
The service is good and ambience is good for a date or group outing.,ambience,positive
"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",quality,negative
I must say it's a little pricey for the food because it was not as spectacular as the view.,food,negative
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",menu,positive
"When going out for a nice dinner, I like a nice ambiance as well as very good food.",ambiance,positive
Obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys.,Obv caviar,positive
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,hot sauce,positive
The food is great and they have a good selecion of wines at reasonable prices.,prices,positive
"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",drinks,positive
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",dessert wine,positive
"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",serving,neutral
"NO more reservations, expensive tips and annoying stuff.",tips,positive
"Drinks got screwed up, she acted put upon.",Drinks,negative
"Even with the prix fixe pricing, this restaurant is not worth it.",prix fixe pricing,conflict
"As I made the title, it's an affordable restaurant for great taste.",taste,positive
Really tasty spring rolls and noodles for a good price though.,noodles,positive
Has the chef and owner changed???,chef,neutral
"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",ingredients,positive
"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.",tom yum soup,neutral
The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,wine list,positive
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",steak,positive
I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral
"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",oil,neutral
"Great selection of wine, and seafood.",seafood,positive
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,reservations,negative
"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",meat,negative
"If you want Americanized Chinese food with your usual watery, generic white sauce, this is your place.",Chinese food,neutral
"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,positive
"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",bartender,positive
The service was attentive and her suggestions of menu items was right on the mark.,menu items,positive
"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",waiting,negative
"Service was slow, but the people were friendly.",people,positive
"They have it all -- great price, food, and service.",price,positive
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",extra virgnin olive oil,positive
Just stick with the small dishes!,dishes,negative
The drinks are always welll made and wine selection is fairly priced.,wine selection,neutral
Patroon features a nice cigar bar and has great staff.,staff,positive
one of the best Chicken Tikka Masala.,Chicken Tikka Masala,positive
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",dim sum,negative
"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",food,positive
service was efficient courteous.,service,positive
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",price range,positive
"We all ate pasta entre'es, which were great.",pasta entre'es,positive
From the moment we walked in they were more than accomodating even though the place was packed.,place,negative
"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",menu,positive
"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",service,conflict
I think the stuff was better than Disney.,stuff,positive
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive
"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night.",table,positive
The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.,noise level,negative
From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,buttery and tender langostine entree,positive
"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.",food,neutral
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,positive
"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",bread,negative
"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",Guizhou Chicken,positive
"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",food,positive
Priced at upper intermediate range.,Priced,negative
I had the Pad Thai and the noodles were sticky.,Pad Thai,negative
"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",foods,positive
"When we sat, we got great and fast service.",service,positive
"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",secondi,positive
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",chef,positive
"Service here was great, food was fantastic.",Service,positive
"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).",Price,positive
"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.",bagels,conflict
Spreads and toppings are great - though a bit pricey.,toppings,positive
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",meal,neutral
Service is not what one would expect from a joint in this price category.,Service,negative
"The food was very good, a great deal, and the place its self was great.",food,positive
"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",rice,negative
"Spice is great Thai food, love the inexpensive appetizers.",Thai food,positive
"The wine is always good, the tapas are always yummy, especially with the warm pita bread.",pita bread,positive
The fish was not fresh and the rice tasted old and stale.,rice,negative
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,positive
"We've only eaten in the restaurant once, but we have ordered many times for dinner.",dinner,neutral
"Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).",price,positive
"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.",back garden,positive
We could have made a meal of the yummy dumplings from the dumpling menu.,meal,positive
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",place,positive
"Great spot, whether looking for a couple of drinks or quiet dinner.",spot,positive
"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",technique,positive
Delicious food at a great price but do not go here on a cold day and sit by the front door.,price,positive
They charge $6.00 for rice.,rice,negative
"As there were so many to choose from we wandered up and down the street looking in the windows and such noticicing many empty seats ,except at Taj Mahal.",seats,negative
The spicy Tuna roll is huge and probably the best that I've had at this price range.,price range,positive
The appetizers are just OK and the main courses were decidedly subpar.,main courses,negative
"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",wait staff,negative
My wife and I went to Orsay for Valentine's dinner.,dinner,neutral
"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",main course,neutral
"The ambience was nice, but service wasn't so great.",ambience,positive
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",sangria,neutral
"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",dish,positive
I loved everythig about it-especially the shows and actors.,actors,positive
The staff was knowledgeable and full of personality.,staff,positive
"You can also special order any kind of dumpling,etc.",dumpling,positive
"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",glass noodles,neutral
"Apparently, the good cook works then.",cook,positive
The prices were fantastic.,prices,positive
The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.,kebabs,positive
The people that work there are always so friendly you forget you are in New York sometimes.,people,positive
Definite go if you're used to good Indian restaurant food from abroad.,Indian restaurant food,positive
As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,containers,neutral
Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,rye bread,positive
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,food,neutral
We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.,food,positive
"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",ambiance,positive
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,backyard dining area,positive
We've been to Grocery three times and not once has an item on the menu disappointed.,menu,positive
The lamb meat was under-cooked and EXTRMELY CHEWY.,lamb meat,negative
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",prices,positive
"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night.",service,negative
"Service was decent, but not as smooth as I would expect from a place with these prices and reputation.",prices,negative
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,beef cubes,positive
"I need at least three rolls to be full, and that's at least $14.00!",rolls,neutral
i don't usually order wine with indian so i can't comment on their wine list or their wines.,indian,neutral
In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,lobby,neutral
"Good, dark atmosphere and the music is a nice touch.",atmosphere,positive
"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",bagel,negative
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,service,negative
"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",bottle of sake,neutral
"If you live in Upper Manhattan, Siam Square is THE place for Thia food.",Thia food,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral
It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,Japanese cuisine,negative
I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.,Green Curry dish,negative
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,food,positive
The prices and ambience are especially great considering it's in the West Village.,ambience,positive
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,Pizza,positive
and you can't beat the prices.,prices,positive
The price was extremely reasonable for the appetizers and food we ate.,price,positive
The ambience is authentic and relaxing and we have always received attentive and prompt service.,service,positive
"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",dish,negative
It is also extremely well priced.,priced,positive
"The food is very good for it's price, better than most fried dumplings I've had.",price,positive
After passing by this restaurant for sometime I finally decided to go in and have dinner.,dinner,neutral
The photos of the restaurant in its web site are way better than the real look.,look,negative
I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,beans on toast,positive
Quick and friendly service.,service,positive
"The food is good, especially their more basic dishes, and the drinks are delicious.",food,positive
"The best Chicken pad tai, I've ever had.",Chicken pad tai,positive
"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",menu,neutral
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive
The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,food,positive
"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",scallop roll,positive
I LOVED THE SHOWS.,SHOWS,positive
"In addition, the food is very good and the prices are reasonable.",food,positive
"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",after dinner drinks,negative
"at taj, vegetarians can rejoice-all the dishes are manna from heaven.",dishes,positive
"Kind, attentive wait staff.",wait staff,positive
A++   The service was good to excellent along with the attitude.,attitude,positive
"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",Sichuan Spicy Soft Shell Crab,positive
The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,zucchini,positive
The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.,bombay cosmopolitan,positive
"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",sushi,negative
"If you are someone who appreciates the same things but hope to have food to spare or share, Kai may not be the best option.",food,neutral
"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",chef,positive
The banana tower is an amazing dessert as well.,dessert,positive
"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",atmosphere,positive
We had a wonderful meal at Naples 45 a month ago on a visit to NYC.,meal,positive
This isn't your corner Chinese food takeout.,Chinese food,neutral
Spreads and toppings are great - though a bit pricey.,Spreads,positive
They charge different prices all the time.,prices,negative
then we ordered a dinosaur rolls and white tuna sashimi.,white tuna sashimi,neutral
"Some of the workers ignore me and talk to the female customers, other times, they've skipped my order.",workers,negative
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,positive
"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",table,negative
"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",pastas,positive
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",pinot noir,positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",Delivery,positive
"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling.",dinner,neutral
"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",waitress,positive
"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",area,negative
Seating is ok even though sometimes there's alot of people.,Seating,neutral
"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",discount,negative
"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",bagel,negative
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",food,negative
This is one great place to eat pizza more out but not a good place for take-out pizza.,pizza,positive
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",owners,positive
Food was OK - fish was cooked well.,fish,positive
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,tomatoes,positive
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",sevpuri,positive
The service was attentive.,service,positive
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,food,positive
I ordered a Lassi and asked 4 times for it but never got it.,Lassi,neutral
"The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely.",waitstaff,negative
"After the main course came, we didn't see our waiter for at least 40 MINUTES!",waiter,negative
"We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.",room,neutral
"Three page wine menu, one page entree and horedevous.",entree,positive
"if this happens, just ask for real naan.",naan,neutral
"We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel.",dessert menu,neutral
They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?,back garden,positive
The prices were CHEAP compared to the quality of service and food.,food,positive
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",Salmon,neutral
I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,dining area,neutral
"The quantity is also very good, you will come out satisfied.",quantity,positive
"The food was very good, but not very thai.",food,conflict
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,half-price Saturday night option,positive
It was not above ordinary and the beef version had cheap (undercooked) beef.,beef,negative
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,Italian food,positive
All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,food,positive
"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",fish,positive
The food is authentic Italian - delicious!,food,positive
"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",table,negative
I ate here a week ago and found most dishes average at best and too expensive.,dishes,negative
"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",edamames,neutral
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,atmosphere,positive
The service is fantastic.,service,positive
The waitresses are nice--also you can just get counter service sit.,waitresses,positive
"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens.",Service,positive
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",dish,neutral
"Save your money and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service.",food,positive
The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,cheese,positive
"Fresh, authentic, french cuisine in substantial portions.",french cuisine,positive
After dealing with subpar pizza all over the Kensington neighborhood - I've found little toninos.,pizza,negative
(and I have eaten my share) Which impresses me for having such a large amount of people to serve.,serve,positive
"Considering their price of $6.25 for lunch special, the dish was ridiculously small.",price,negative
"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",wine,positive
Awsome Pizza especially the Margheritta slice.,Margheritta,positive
I'd call it an 'italian dinner'.,dinner,neutral
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",food,positive
"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",lad nar,conflict
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",The chicken pot pie,positive
I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).,waterbugs,negative
They've the best desserts and mixed drinks as well as snack foods.,desserts,positive
The waitress suggested glasses of wine that went very well with the food.,waitress,positive
"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",waitstaff,positive
I always get the Shabu-Shabu dinner and the beef is always fresh.,Shabu-Shabu dinner,neutral
"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",food,negative
brick oven gallery is My pick for best pizza restaurant anywhere.,pizza,positive
"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",donut like deep fried dough they call Ow Ley Soh,positive
skip dessert.,dessert,negative
"The service was bad, the food took to forever to come, we sat on the upper level.",service,negative
"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",served,negative
"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.",dinner,positive
The food is amazing!!!!,food,positive
One should not go to Lucky Strike for the food.,food,negative
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bar,neutral
I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,lime,neutral
"Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time.",location,positive
I love and I know gourmet food by excellence!,gourmet food,positive
"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",fish,negative
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",candle-light,positive
Why make a reservation if you aren't going to keep it?,reservation,negative
"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.",music,positive
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,positive
We didn't get drink refills and she didn't even offer us the option of dessert.,drink refills,negative
"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",bar,negative
I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,lunch specials,positive
It's easy to get a table for a large group and you don't get hustled out.,table,positive
"The food is definitely good, but I left a bit disappointed.",food,positive
"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",cafe,positive
"The waiters are sweet, the food is tasty and the bill is never too large.",waiters,positive
"Their sushi, Kamikaze and other Rolls are fresh and well presented.",Rolls,positive
"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",wait staff,positive
The food is great and reasonably priced.,food,positive
Service- friendly and attentive.,Service,positive
I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive
I would definitely recommend SEA if you like thai cuisine!,thai cuisine,positive
bottles of wine are cheap and good.,bottles of wine,positive
We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,ordering a la carte,negative
Pair you food with the excellent beers on tap or their well priced wine list.,beers on tap,positive
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",Blue Fin Torro (Fatty Tuna),neutral
The sushi seemed pretty fresh and was adequately proportioned.,sushi,positive
"The portion sizes here are huge, and the sushi is good.",portion sizes,positive
Several of the dim sum orders had about 6-8 pieces.,dim sum orders,neutral
The counter service is bad.,counter service,negative
"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",rice,neutral
"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",glasses of champagne,negative
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,neutral
I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.,drink,neutral
From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.,staff,positive
The food was absolutely amazing!!,food,positive
The lunch special is an asbolute steal.,lunch special,positive
"I have been here a few times for dinner, once for brunch and twice for lunch.",dinner,neutral
Went there and had a combination of different seafood dishes and appetizers.,seafood dishes,neutral
"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",water and wine glasses,negative
Our food was great too!,food,positive
"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",brunch,neutral
"The food is good, but very expensive for the casualness of it.",food,conflict
With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,positive
"my wife and i have been going to nyc for years and wouldn't miss roxy,s food is expensive but it's new york!",food,conflict
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",drunken chicken,positive
"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.",servants,negative
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),positive
"The calamari comes with an incredible sauce, and the duck noodles are yummy as well.",sauce,positive
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",live jazz band,positive
"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",place,negative
If you like spicy food get the chicken vindaloo.,chicken vindaloo,neutral
They pray to their Food Gods to make them into a good pizza like VT's.,pizza,negative
"Excellent dumplings served amid clean, chic decor.",decor,positive
Horrible food and Horrible service.,food,negative
"Food was very good, but not what I would consider out of this world.",Food,positive
They have a very diverse menu so its something for everybody.,menu,positive
"The food is wonderful, tasty and filling, and the service is professional and friendly.",service,positive
"Great food, good size menu, great service and an unpretensious setting.",food,positive
The bagels are also reasonably priced for NYC.,bagels,positive
"Late nite omelletes are not good here, there is no variety!",omelletes,negative
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",pre-theater prix-fixe,positive
We could only get through an appetizer and cheese fondue.,appetizer,neutral
"Even upon delivery, their juicy pork buns are quite good . .",pork buns,positive
Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.,sandwich,positive
They've the best desserts and mixed drinks as well as snack foods.,snack foods,positive
When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,waitress,negative
"The food was just awful, ATROCIOUS actually.",food,negative
Their Margarita is best I've had since I've returned from Naples!,Margarita,positive
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,food,positive
Dahkin also offers prix fixe lunch and buffet.,prix fixe lunch,positive
They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.,RICE,negative
The service was excellent and the food was delicious.,food,positive
"Moules were excellent, lobster ravioli was VERY salty!",lobster ravioli,negative
"Quality ingredients preparation all around, and a very fair price for NYC.",price,positive
"It's not mind-blowing, but to me, thai food never is and never will be.",thai food,neutral
The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,vegetarian entree,positive
"Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...",hostess,positive
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",mushroom ravioli,positive
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,positive
"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).",Quality,positive
it's the only place you can get yummy authentic japanese comfort food.,japanese comfort food,positive
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",creme brulee,positive
"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.",hostess,positive
"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.",dessert,positive
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",wine list,negative
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",waiter,positive
The service is a little scatty at times but all is forgiven when the food arrives.,service,negative
